,place_id,url,types,formatted_address,name,accounting,administrative_area_level_1,administrative_area_level_2,administrative_area_level_4,administrative_area_level_5,airport,amusement_park,art_gallery,atm,bakery,bank,bar,beauty_salon,bicycle_store,book_store,bus_station,cafe,campground,car_dealer,car_rental,car_repair,car_wash,casino,church,city_hall,clothing_store,colloquial_area,convenience_store,country,dentist,department_store,doctor,drugstore,electronics_store,establishment,finance,florist,food,furniture_store,gas_station,general_contractor,grocery_or_supermarket,gym,hair_care,hardware_store,health,home_goods_store,hospital,jewelry_store,laundry,library,liquor_store,local_government_office,locality,lodging,meal_delivery,meal_takeaway,movie_rental,movie_theater,moving_company,museum,natural_feature,neighborhood,night_club,park,parking,pet_store,pharmacy,physiotherapist,place_of_worship,point_of_interest,police,political,post_office,premise,primary_school,real_estate_agency,restaurant,rv_park,school,secondary_school,shoe_store,shopping_mall,spa,stadium,storage,store,street_address,sublocality,sublocality_level_1,subway_station,supermarket,tourist_attraction,town_square,train_station,transit_station,travel_agency,university,veterinary_care,zoo
0,ChIJedUd3TTX2pIRJKwnsHqr2ak,"https://maps.google.com/?q=S%C3%A3o+Bento,+S%C3%A3o+Bento+do+Tocantins+-+TO,+77958-000,+Brasil&ftid=0x92dad734dd1dd579:0xa9d9ab7ab027ac24","['locality', 'political']","São Bento, São Bento do Tocantins - TO, 77958-000, Brasil",São Bento,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,ChIJeTyrRODC2pIRD8OCyHN6r1o,"https://maps.google.com/?q=S%C3%A3o+Bento+do+Tocantins,+TO,+77958-000,+Brasil&ftid=0x92dac2e044ab3c79:0x5aaf7a73c882c30f","['locality', 'political']","São Bento do Tocantins, TO, 77958-000, Brasil",São Bento do Tocantins,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,ChIJiwQYilgYrgcRIb9x4v_eG40,"https://maps.google.com/?q=Ja%C3%A7an%C3%A3,+RN,+59225-000,+Brasil&ftid=0x7ae18588a18048b:0x8d1bdeffe271bf21","['locality', 'political']","Jaçanã, RN, 59225-000, Brasil",Jaçanã,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,ChIJdyKoGxFJxwcRDq4rKNXuUsI,"https://maps.google.com/?q=R.+Adolfo+Herbster,+364+-+Benfica,+Fortaleza+-+CE,+60020-330,+Brasil&ftid=0x7c749111ba82277:0xc252eed5282bae0e",['street_address'],"R. Adolfo Herbster, 364 - Benfica, Fortaleza - CE, 60020-330, Brasil","R. Adolfo Herbster, 364",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
4,ChIJAcnrZfSxnZMRH2umxUijh2A,https://maps.google.com/?cid=6955707682446011167,"['night_club', 'point_of_interest', 'establishment']","Av. Sen. Filinto Müller, 1397 - Quilombo, Cuiabá - MT, 78043-409, Brasil",Clan Club,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,ChIJbfYHDyFIJ5URLhLsAvPewVg,"https://maps.google.com/?q=R.+S%C3%A9rgio+Gil,+703+-+Balneario,+Florian%C3%B3polis+-+SC,+88075-340,+Brasil&ftid=0x952748210f07f66d:0x58c1def302ec122e",['premise'],"R. Sérgio Gil, 703 - Balneario, Florianópolis - SC, 88075-340, Brasil","R. Sérgio Gil, 703",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,ChIJJwesDyFIJ5UR2CfCWb9Ulz8,https://maps.google.com/?cid=4582224326694152152,"['point_of_interest', 'establishment']","R. Sérgio Gil, 703 - Balneario, Florianópolis - SC, 88075-340, Brasil",Escrivania do Estreito,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,ChIJufrYVzs4J5URvaqVuSCS5n8,https://maps.google.com/?cid=9216214356710501053,"['hospital', 'health', 'point_of_interest', 'establishment']","R. Bocaiúva, 2302-2420 - Centro, Florianópolis - SC, 88015-530, Brasil",Clínica Otma,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,ChIJkSLbuvw1J5URyjTpuS1j57c,https://maps.google.com/?cid=13251669476604720330,"['point_of_interest', 'establishment']","Marg. da BR-101 - Distrito Industrial, São José - SC, 88106-115, Brasil",Shopping Continente,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,ChIJI8H_uBVQzpQRaOUBSBRuDHo,"https://maps.google.com/?q=Jardim+Itapeva,+S%C3%A3o+Paulo+-+SP,+04674-150,+Brasil&ftid=0x94ce5015b8ffc123:0x7a0c6e144801e568","['sublocality_level_1', 'sublocality', 'political']","Jardim Itapeva, São Paulo - SP, 04674-150, Brasil",Jardim Itapeva,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
